,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-06-30,2,6000,0,0,1,0,0,0,0,0,1,0,0,0,6000,0,0,0,0,0,0,0,0.014962593516209476
2017-07-01,5,87000,0,1,1,0,2,0,0,0,1,0,0,19000,2000,0,66000,0,0,0,0,0,0.2169576059850374
2017-07-02,3,8000,0,1,1,0,0,0,0,0,1,0,0,6000,2000,0,0,0,0,0,0,0,0.0199501246882793
2017-07-03,3,62000,0,0,1,0,1,0,0,0,1,0,0,0,2000,0,60000,0,0,0,0,0,0.1546134663341646
2017-07-04,6,87000,0,0,3,0,1,0,0,1,1,0,0,0,68000,0,19000,0,0,0,0,0,0.2169576059850374
2017-07-05,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-07-06,3,25000,0,0,0,0,2,0,0,0,1,0,0,0,0,0,25000,0,0,0,0,0,0.062344139650872814
2017-07-07,3,79000,0,0,1,0,1,0,0,0,1,0,0,0,60000,0,19000,0,0,0,0,0,0.1970074812967581
2017-07-08,8,154800,1,1,2,0,3,0,0,0,1,0,1900,6000,61900,0,85000,0,0,0,0,0,0.38603491271820445
2017-07-09,5,104000,0,2,1,0,1,0,0,0,1,0,0,25000,60000,0,19000,0,0,0,0,0,0.2593516209476309
2017-07-10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-07-11,2,19000,0,1,0,0,0,0,0,0,1,0,0,19000,0,0,0,0,0,0,0,0,0.04738154613466334
2017-07-12,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-07-13,4,18000,0,2,0,0,0,0,1,0,1,0,0,12000,0,0,0,0,6000,0,0,0,0.04488778054862843
2017-07-14,4,85000,0,1,2,0,0,0,0,0,1,0,0,6000,79000,0,0,0,0,0,0,0,0.21197007481296756
2017-07-15,9,141000,0,1,4,0,3,0,0,0,1,0,0,6000,104000,0,31000,0,0,0,0,0,0.35162094763092266
2017-07-16,7,116000,0,1,4,0,0,0,1,0,1,0,0,6000,104000,0,0,0,6000,0,0,0,0.28927680798004984
2017-07-17,3,25000,0,1,0,0,0,0,1,0,1,0,0,19000,0,0,0,0,6000,0,0,0,0.062344139650872814
2017-07-18,4,72000,1,0,0,0,1,0,1,0,1,0,60000,0,0,0,6000,0,6000,0,0,0,0.17955112219451372
2017-07-19,3,66000,0,1,0,0,1,0,0,0,1,0,0,6000,0,0,60000,0,0,0,0,0,0.16458852867830423
2017-07-20,2,60000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,60000,0,0,0,0,0,0.14962593516209477
2017-07-21,3,79000,0,0,1,0,1,0,0,0,1,0,0,0,19000,0,60000,0,0,0,0,0,0.1970074812967581
2017-07-22,10,155900,1,2,3,0,3,0,0,0,1,0,6000,25000,39900,0,85000,0,0,0,0,0,0.3887780548628429
2017-07-23,7,183000,0,1,3,0,2,0,0,0,1,0,0,19000,44000,0,120000,0,0,0,0,0,0.456359102244389
2017-07-24,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-07-25,2,19000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-07-26,4,98000,0,1,0,0,2,0,0,0,1,0,0,19000,0,0,79000,0,0,0,0,0,0.24438902743142144
2017-07-27,4,85000,1,0,0,0,2,0,0,0,1,0,6000,0,0,0,79000,0,0,0,0,0,0.21197007481296756
2017-07-28,6,151000,1,1,1,0,2,0,0,0,1,0,6000,19000,60000,0,66000,0,0,0,0,0,0.3765586034912718
2017-07-29,6,320000,1,1,2,0,1,0,0,0,1,0,6000,6000,248000,0,60000,0,0,0,0,0,0.798004987531172
2017-07-30,4,80900,0,0,2,0,1,0,0,0,1,0,0,0,61900,0,19000,0,0,0,0,0,0.20174563591022443
2017-07-31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-08-01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
