place_id,name,type,parent_place_id,parent_name,parent_type
5250831,Douglas County,county,5279468,Wisconsin,region
5697026,Lincoln County,county,5073708,Nebraska,region
5067039,Dodge County,county,5073708,Nebraska,region
4638283,Loudon County,county,4662168,Tennessee,region
4347283,Anne Arundel County,county,4361885,Maryland,region
5023752,Dakota County,county,5037779,Minnesota,region
4249472,Sangamon County,county,4896861,Illinois,region
4119581,Logan County,county,4099753,Arkansas,region
4706143,Liberty County,county,4736286,Texas,region
5761960,Yamhill County,county,5744337,Oregon,region
4475647,Lenoir County,county,4482348,North Carolina,region
4893313,Fulton County,county,4896861,Illinois,region
5681435,Sweet Grass County,county,5667009,Montana,region
4243727,Macoupin County,county,4896861,Illinois,region
4121839,Mississippi County,county,4099753,Arkansas,region
4628715,Henderson County,county,4662168,Tennessee,region
4189236,Cook County,county,4197000,Georgia,region
4831351,Barbour County,county,4829764,Alabama,region
5002390,Montcalm County,county,5001836,Michigan,region
4547357,Ottawa County,county,4544379,Oklahoma,region
5685886,Wheatland County,county,5667009,Montana,region
4984903,Baraga County,county,5001836,Michigan,region
5259991,Lincoln County,county,5279468,Wisconsin,region
4895035,Hancock County,county,4896861,Illinois,region
4276817,Ottawa County,county,4273857,Kansas,region
5518431,Castro County,county,4736286,Texas,region
4427592,George County,county,4436296,Mississippi,region
4999022,Leelanau County,county,5001836,Michigan,region
5118116,Fulton County,county,5128638,State of New York,region
4469619,Halifax County,county,4482348,North Carolina,region
4674915,Blanco County,county,4736286,Texas,region
4876117,Shelby County,county,4862182,Iowa,region
5466318,Eddy County,county,5481136,New Mexico,region
5265518,Oconto County,county,5279468,Wisconsin,region
5201707,Monroe County,county,6254927,Pennsylvania,region
5173386,Summit County,county,5165418,Ohio,region
5179454,Beaver County,county,6254927,Pennsylvania,region
4380170,Carter County,county,4398678,Missouri,region
4500160,Yancey County,county,4482348,North Carolina,region
5119847,Hamilton County,county,5128638,State of New York,region
4726521,San Patricio County,county,4736286,Texas,region
5586445,Boise County,county,5596512,Idaho,region
4113088,Greene County,county,4099753,Arkansas,region
